variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,1129302214,pht_arf_c1,30.0,grid,0.08547008547008547,0.08547008547008547,364.4,364.4,112,5,107,0.044642857142857144,1.0,5,0.32432730480811645,0.3464605792960125,17
abrupt_balanced,1206282609,pht_arf_c1,30.0,grid,0.07936507936507936,0.07936507936507936,295.6,295.6,121,5,116,0.04132231404958678,1.0,5,0.3227834142037936,0.34947395765683853,15
abrupt_balanced,1244265337,pht_arf_c1,30.0,grid,0.09708737864077671,0.09708737864077671,407.2,407.2,98,5,93,0.05102040816326531,1.0,5,0.311645346272607,0.3323548512793869,12
abrupt_balanced,1258460216,pht_arf_c1,30.0,grid,0.08771929824561404,0.08771929824561404,241.4,241.4,109,5,104,0.045871559633027525,1.0,5,0.3223423026025585,0.33653721262501624,17
abrupt_balanced,1332204363,pht_arf_c1,30.0,grid,0.10526315789473684,0.10526315789473684,361.8,361.8,90,5,85,0.05555555555555555,1.0,5,0.3209086898985443,0.3248993375763086,16
abrupt_balanced,1337295874,pht_arf_c1,30.0,grid,0.07936507936507936,0.07936507936507936,164.8,164.8,121,5,116,0.04132231404958678,1.0,5,0.3514556682840759,0.3437849071307962,24
abrupt_balanced,1380564739,pht_arf_c1,30.0,grid,0.08196721311475409,0.08196721311475409,312.4,312.4,117,5,112,0.042735042735042736,1.0,5,0.32057785619761797,0.3440966359267437,17
abrupt_balanced,1395586264,pht_arf_c1,30.0,grid,0.09708737864077671,0.09708737864077671,128.6,128.6,98,5,93,0.05102040816326531,1.0,5,0.2995147772386414,0.33669307702299,12
abrupt_balanced,1496786007,pht_arf_c1,30.0,grid,0.08695652173913045,0.08695652173913045,78.0,78.0,110,5,105,0.045454545454545456,1.0,5,0.34362593736215263,0.3304844785037018,21
abrupt_balanced,1658700540,pht_arf_c1,30.0,grid,0.09174311926605505,0.09174311926605505,104.0,104.0,104,5,99,0.04807692307692308,1.0,5,0.3244375827084252,0.3350045460449409,17
abrupt_balanced,1737489325,pht_arf_c1,30.0,grid,0.08849557522123894,0.08849557522123894,42.6,42.6,108,5,103,0.046296296296296294,1.0,5,0.3120864578738421,0.33471879464865567,17
