Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,28
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,28
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,28
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,28
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,28
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,28
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,28
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,28
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,28
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,28
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,29
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,29
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,29
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,29
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,29
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,29
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,29
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,29
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,29
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,29
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,29
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,29
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,30
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,30
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,30
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,30
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,30
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,30
