seed,delta_e,tau_arf
1795468969,0.16,516
2590496957,0.16,404
3299187091,0.16,411
1977285233,0.16,219
2229299064,0.16,419
621973311,0.16,30
3137073118,0.16,206
1722482046,0.16,133
2843863878,0.16,137
3220027874,0.16,299
2854411774,0.16,211
656915034,0.16,358
3284494407,0.16,203
1067328885,0.16,125
2684470948,0.18,199
4091952314,0.18,397
233227757,0.18,947
3276785861,0.18,506
3644269654,0.18,133
1206282609,0.18,192
3543069911,0.18,560
3479688010,0.18,123
877132087,0.18,141
1244265337,0.18,137
2740186692,0.18,264
3884972972,0.18,139
829139639,0.18,192
2545567356,0.18,131
2718398101,0.18,407
176092387,0.18,983
3528048386,0.18,126
569531098,0.18,835
1337295874,0.18,89
612016888,0.18,122
232150720,0.18,235
2324106676,0.18,891
1658700540,0.18,189
609942288,0.18,128
3405943863,0.18,580
2257503667,0.18,315
4018327298,0.18,97
2224437599,0.18,129
168388230,0.18,221
911875363,0.18,78
3699796293,0.18,247
3195154224,0.18,527
3621210587,0.18,19
1945778437,0.18,819
2384190687,0.18,139
3249086786,0.18,116
439485575,0.18,134
2217192537,0.18,128
3412522237,0.18,156
555567425,0.18,185
3399977417,0.18,202
2903099886,0.18,113
151712926,0.18,189
1207582415,0.18,241
2486821540,0.18,300
1259821421,0.18,190
597594931,0.18,309
2865206418,0.18,104
3003750881,0.18,83
3312495928,0.18,163
3078168926,0.18,187
1005097259,0.18,216
1646080115,0.18,405
2175304393,0.18,181
3907648593,0.18,344
1971688097,0.18,280
268300483,0.18,92
3139098279,0.18,317
3174456534,0.18,220
997026310,0.18,181
4280428995,0.18,156
345698675,0.18,138
2296661869,0.18,12
1808063307,0.18,115
3884888703,0.18,130
2494461129,0.18,118
3862701690,0.18,1027
1989052338,0.18,115
2910179760,0.18,109
1983180500,0.18,199
2796940620,0.18,122
2835193311,0.18,119
1671370085,0.18,268
3953588250,0.18,383
358542842,0.18,58
3497188667,0.18,93
253549709,0.18,146
1953331372,0.18,168
890775398,0.18,182
642810498,0.18,260
1233062494,0.18,142
908446902,0.18,492
3109591194,0.18,127
2446198906,0.18,8
3358664237,0.18,143
896344283,0.18,166
1869944201,0.18,565
3190319407,0.18,127
987968938,0.18,73
48960437,0.18,83
2405484524,0.18,121
3763400334,0.18,212
4209925572,0.18,111
4172993659,0.18,189
2147595062,0.18,225
3425188374,0.18,153
3309235867,0.18,112
3869940862,0.18,179
3445858407,0.18,208
683688611,0.18,385
3671515462,0.18,165
3027130951,0.18,56
3369736057,0.18,198
1655287705,0.18,157
3004971955,0.18,394
1256815592,0.18,101
267482411,0.18,194
2210323869,0.18,187
3218958405,0.18,70
3163371865,0.18,116
1394697297,0.18,902
4178031102,0.18,112
643453088,0.18,169
3249835323,0.18,117
349764347,0.18,81
317791015,0.18,118
4067508317,0.18,120
2385507088,0.18,365
1526028037,0.18,109
297824171,0.18,227
1353143832,0.18,374
1739382006,0.18,103
580680804,0.18,149
2823014988,0.18,1134
3517474495,0.18,234
1323262800,0.18,237
975802718,0.18,165
2199045525,0.18,125
1193102617,0.18,130
884894373,0.18,249
3411013638,0.18,279
805745625,0.18,221
3780170430,0.18,382
3127142703,0.18,9
2145807442,0.18,857
7356014,0.18,177
1854214563,0.18,386
3246756741,0.18,443
4269520782,0.18,152
3093880402,0.18,141
721312908,0.18,200
2185234596,0.18,265
1811372632,0.18,1
158871473,0.18,95
3933942357,0.18,1
2247311752,0.18,150
2639539135,0.18,325
588020478,0.18,803
2481404281,0.18,5
3605935409,0.18,339
1724216363,0.18,372
3705963873,0.18,4
3077038052,0.18,155
3012538924,0.18,115
339579960,0.18,261
3595527923,0.18,146
863450078,0.18,95
1293846983,0.18,708
297175216,0.18,144
1619853330,0.18,226
1315304267,0.18,444
3174143715,0.18,365
1039824701,0.18,146
721441559,0.18,87
4105799406,0.18,212
1633137197,0.18,284
1521883525,0.18,285
3988848284,0.18,341
2356674901,0.18,175
3622559309,0.18,125
855568988,0.18,116
2610361744,0.18,229
3797455899,0.18,25
3701701166,0.18,185
1820757617,0.18,170
3255375637,0.18,245
1973362254,0.18,794
817567550,0.18,658
3034277235,0.18,693
422340604,0.18,225
2537213971,0.18,207
2777209301,0.18,120
3393578195,0.18,94
968986378,0.18,159
688328363,0.18,42
4152859901,0.18,101
1795468969,0.18,637
2590496957,0.18,241
3299187091,0.18,284
1977285233,0.18,191
2229299064,0.18,329
621973311,0.18,30
3137073118,0.18,94
1722482046,0.18,126
2843863878,0.18,114
3220027874,0.18,370
2854411774,0.18,169
656915034,0.18,886
3284494407,0.18,172
1067328885,0.18,125
2684470948,0.2,132
4091952314,0.2,297
233227757,0.2,1213
3276785861,0.2,631
3644269654,0.2,133
1206282609,0.2,122
